"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","layover","pattern_id","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"704740","22:54:00","22:54:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704742","08:28:00","08:28:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704744","10:41:00","10:41:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704746","12:57:00","12:57:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704748","15:13:00","15:13:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704750","17:27:00","17:27:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704752","19:40:00","19:40:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704754","21:55:00","21:55:00","02507","16","101 EmX EUGENE STATION","False","25653","","","","1"
"704870","08:38:00","08:38:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704871","07:37:00","07:37:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704873","09:47:00","09:47:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704875","11:57:00","11:57:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704877","14:13:00","14:13:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704879","16:27:00","16:27:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704881","18:42:00","18:42:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704883","20:55:00","20:55:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704953","08:48:00","08:48:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704955","10:57:00","10:57:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704957","13:12:00","13:12:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704959","15:28:00","15:28:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704961","17:42:00","17:42:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704963","19:55:00","19:55:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704965","22:09:00","22:09:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
